"","id","age","gender","run","decisionnum","deckl","deckr","decision_type","deckchoice","deckrt","subtrial","task","probe","switchresp","switchrt","understood","mapping","preference","notice","difficulty","tlx_deck1","tlx_deck2","tlx_deck3","tlx_deck4","tlx_deck5","tlx_deck6","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","uncertainty1","uncertainty2","uncertainty3","uncertainty4","uncertainty5","uncertainty6","uncertainty7","uncertainty8","uncertainty9","uncertainty10","uncertainty11","uncertainty12","uncertainty13","uncertainty14","uncertainty15","uncertainty16","uncertainty17","uncertainty18","uncertainty19","uncertainty20","uncertainty21","uncertainty22","uncertainty23","uncertainty24","uncertainty25","uncertainty26","uncertainty27","time_elapsed"
"1","pIOvJbcqZGWAVY1",48,"male","learning",0,"deck1",NA,NA,NA,NA,1,"parity",7,73,2219.3350000307,"yes","A bit, I remembered which ones had a status bar. I also had some that I preferred the colors/numbers but that could have been me projecting something that wasn't there.","At first I thought I had favorites and that I didn't like the status bar. But after a while, I really didn't even look at the status bar nor care about the subtle differences in the decks. My strategy became to keep my thoughts focused on the game and not on trying to detect the differences in the decks.","the biggest difference was that some had progress bars. ","I t could be that some decks jumped around colors/numbers more than others, but after a while I stopped focusing on that (because it was causing me to overthink and make mistakes or run out of time)",3,6,6,3,3,3,3,3,0,1,0,3,0,1,3,3,4,0,4,3,3,0,0,4,2,0,0,0,1,2,1,3,0,4,2,0,0,0,1,1,0,4,3,1,3,0,0,1,0,3,2,226962
"2","pIOvJbcqZGWAVY1",48,"male","learning",0,"deck1",NA,NA,NA,NA,2,"parity",3,73,944.385000038892,"yes","A bit, I remembered which ones had a status bar. I also had some that I preferred the colors/numbers but that could have been me projecting something that wasn't there.","At first I thought I had favorites and that I didn't like the status bar. But after a while, I really didn't even look at the status bar nor care about the subtle differences in the decks. My strategy became to keep my thoughts focused on the game and not on trying to detect the differences in the decks.","the biggest difference was that some had progress bars. ","I t could be that some decks jumped around colors/numbers more than others, but after a while I stopped focusing on that (because it was causing me to overthink and make mistakes or run out of time)",3,6,6,3,3,3,3,3,0,1,0,3,0,1,3,3,4,0,4,3,3,0,0,4,2,0,0,0,1,2,1,3,0,4,2,0,0,0,1,1,0,4,3,1,3,0,0,1,0,3,2,228412
"3","pIOvJbcqZGWAVY1",48,"male","learning",0,"deck1",NA,NA,NA,NA,3,"parity",9,73,599.410000024363,"yes","A bit, I remembered which ones had a status bar. I also had some that I preferred the colors/numbers but that could have been me projecting something that wasn't there.","At first I thought I had favorites and that I didn't like the status bar. But after a while, I really didn't even look at the status bar nor care about the subtle differences in the decks. My strategy became to keep my thoughts focused on the game and not on trying to detect the differences in the decks.","the biggest difference was that some had progress bars. ","I t could be that some decks jumped around colors/numbers more than others, but after a while I stopped focusing on that (because it was causing me to overthink and make mistakes or run out of time)",3,6,6,3,3,3,3,3,0,1,0,3,0,1,3,3,4,0,4,3,3,0,0,4,2,0,0,0,1,2,1,3,0,4,2,0,0,0,1,1,0,4,3,1,3,0,0,1,0,3,2,229515
"4","pIOvJbcqZGWAVY1",48,"male","learning",0,"deck1",NA,NA,NA,NA,4,"parity",7,73,489.464999875054,"yes","A bit, I remembered which ones had a status bar. I also had some that I preferred the colors/numbers but that could have been me projecting something that wasn't there.","At first I thought I had favorites and that I didn't like the status bar. But after a while, I really didn't even look at the status bar nor care about the subtle differences in the decks. My strategy became to keep my thoughts focused on the game and not on trying to detect the differences in the decks.","the biggest difference was that some had progress bars. ","I t could be that some decks jumped around colors/numbers more than others, but after a while I stopped focusing on that (because it was causing me to overthink and make mistakes or run out of time)",3,6,6,3,3,3,3,3,0,1,0,3,0,1,3,3,4,0,4,3,3,0,0,4,2,0,0,0,1,2,1,3,0,4,2,0,0,0,1,1,0,4,3,1,3,0,0,1,0,3,2,230508
"5","pIOvJbcqZGWAVY1",48,"male","learning",0,"deck1",NA,NA,NA,NA,5,"parity",8,69,917.959999991581,"yes","A bit, I remembered which ones had a status bar. I also had some that I preferred the colors/numbers but that could have been me projecting something that wasn't there.","At first I thought I had favorites and that I didn't like the status bar. But after a while, I really didn't even look at the status bar nor care about the subtle differences in the decks. My strategy became to keep my thoughts focused on the game and not on trying to detect the differences in the decks.","the biggest difference was that some had progress bars. ","I t could be that some decks jumped around colors/numbers more than others, but after a while I stopped focusing on that (because it was causing me to overthink and make mistakes or run out of time)",3,6,6,3,3,3,3,3,0,1,0,3,0,1,3,3,4,0,4,3,3,0,0,4,2,0,0,0,1,2,1,3,0,4,2,0,0,0,1,1,0,4,3,1,3,0,0,1,0,3,2,231930
"6","pIOvJbcqZGWAVY1",48,"male","learning",0,"deck1",NA,NA,NA,NA,6,"parity",6,69,568.859999999404,"yes","A bit, I remembered which ones had a status bar. I also had some that I preferred the colors/numbers but that could have been me projecting something that wasn't there.","At first I thought I had favorites and that I didn't like the status bar. But after a while, I really didn't even look at the status bar nor care about the subtle differences in the decks. My strategy became to keep my thoughts focused on the game and not on trying to detect the differences in the decks.","the biggest difference was that some had progress bars. ","I t could be that some decks jumped around colors/numbers more than others, but after a while I stopped focusing on that (because it was causing me to overthink and make mistakes or run out of time)",3,6,6,3,3,3,3,3,0,1,0,3,0,1,3,3,4,0,4,3,3,0,0,4,2,0,0,0,1,2,1,3,0,4,2,0,0,0,1,1,0,4,3,1,3,0,0,1,0,3,2,233004
"7","pIOvJbcqZGWAVY1",48,"male","learning",0,"deck1",NA,NA,NA,NA,7,"parity",2,69,503.245000028983,"yes","A bit, I remembered which ones had a status bar. I also had some that I preferred the colors/numbers but that could have been me projecting something that wasn't there.","At first I thought I had favorites and that I didn't like the status bar. But after a while, I really didn't even look at the status bar nor care about the subtle differences in the decks. My strategy became to keep my thoughts focused on the game and not on trying to detect the differences in the decks.","the biggest difference was that some had progress bars. ","I t could be that some decks jumped around colors/numbers more than others, but after a while I stopped focusing on that (because it was causing me to overthink and make mistakes or run out of time)",3,6,6,3,3,3,3,3,0,1,0,3,0,1,3,3,4,0,4,3,3,0,0,4,2,0,0,0,1,2,1,3,0,4,2,0,0,0,1,1,0,4,3,1,3,0,0,1,0,3,2,234010
"8","pIOvJbcqZGWAVY1",48,"male","learning",0,"deck1",NA,NA,NA,NA,8,"parity",6,69,478.540000040084,"yes","A bit, I remembered which ones had a status bar. I also had some that I preferred the colors/numbers but that could have been me projecting something that wasn't there.","At first I thought I had favorites and that I didn't like the status bar. But after a while, I really didn't even look at the status bar nor care about the subtle differences in the decks. My strategy became to keep my thoughts focused on the game and not on trying to detect the differences in the decks.","the biggest difference was that some had progress bars. ","I t could be that some decks jumped around colors/numbers more than others, but after a while I stopped focusing on that (because it was causing me to overthink and make mistakes or run out of time)",3,6,6,3,3,3,3,3,0,1,0,3,0,1,3,3,4,0,4,3,3,0,0,4,2,0,0,0,1,2,1,3,0,4,2,0,0,0,1,1,0,4,3,1,3,0,0,1,0,3,2,234994
"9","pIOvJbcqZGWAVY1",48,"male","learning",0,"deck1",NA,NA,NA,NA,9,"parity",7,73,600.795000093058,"yes","A bit, I remembered which ones had a status bar. I also had some that I preferred the colors/numbers but that could have been me projecting something that wasn't there.","At first I thought I had favorites and that I didn't like the status bar. But after a while, I really didn't even look at the status bar nor care about the subtle differences in the decks. My strategy became to keep my thoughts focused on the game and not on trying to detect the differences in the decks.","the biggest difference was that some had progress bars. ","I t could be that some decks jumped around colors/numbers more than others, but after a while I stopped focusing on that (because it was causing me to overthink and make mistakes or run out of time)",3,6,6,3,3,3,3,3,0,1,0,3,0,1,3,3,4,0,4,3,3,0,0,4,2,0,0,0,1,2,1,3,0,4,2,0,0,0,1,1,0,4,3,1,3,0,0,1,0,3,2,236098
"10","pIOvJbcqZGWAVY1",48,"male","learning",0,"deck1",NA,NA,NA,NA,10,"parity",4,69,543.765000067651,"yes","A bit, I remembered which ones had a status bar. I also had some that I preferred the colors/numbers but that could have been me projecting something that wasn't there.","At first I thought I had favorites and that I didn't like the status bar. But after a while, I really didn't even look at the status bar nor care about the subtle differences in the decks. My strategy became to keep my thoughts focused on the game and not on trying to detect the differences in the decks.","the biggest difference was that some had progress bars. ","I t could be that some decks jumped around colors/numbers more than others, but after a while I stopped focusing on that (because it was causing me to overthink and make mistakes or run out of time)",3,6,6,3,3,3,3,3,0,1,0,3,0,1,3,3,4,0,4,3,3,0,0,4,2,0,0,0,1,2,1,3,0,4,2,0,0,0,1,1,0,4,3,1,3,0,0,1,0,3,2,237146
"11","pIOvJbcqZGWAVY1",48,"male","learning",0,"deck1",NA,NA,NA,NA,11,"parity",3,73,711.045000003651,"yes","A bit, I remembered which ones had a status bar. I also had some that I preferred the colors/numbers but that could have been me projecting something that wasn't there.","At first I thought I had favorites and that I didn't like the status bar. But after a while, I really didn't even look at the status bar nor care about the subtle differences in the decks. My strategy became to keep my thoughts focused on the game and not on trying to detect the differences in the decks.","the biggest difference was that some had progress bars. ","I t could be that some decks jumped around colors/numbers more than others, but after a while I stopped focusing on that (because it was causing me to overthink and make mistakes or run out of time)",3,6,6,3,3,3,3,3,0,1,0,3,0,1,3,3,4,0,4,3,3,0,0,4,2,0,0,0,1,2,1,3,0,4,2,0,0,0,1,1,0,4,3,1,3,0,0,1,0,3,2,238363
"12","pIOvJbcqZGWAVY1",48,"male","learning",0,"deck1",NA,NA,NA,NA,12,"magnitude",1,69,880.439999978989,"yes","A bit, I remembered which ones had a status bar. I also had some that I preferred the colors/numbers but that could have been me projecting something that wasn't there.","At first I thought I had favorites and that I didn't like the status bar. But after a while, I really didn't even look at the status bar nor care about the subtle differences in the decks. My strategy became to keep my thoughts focused on the game and not on trying to detect the differences in the decks.","the biggest difference was that some had progress bars. ","I t could be that some decks jumped around colors/numbers more than others, but after a while I stopped focusing on that (because it was causing me to overthink and make mistakes or run out of time)",3,6,6,3,3,3,3,3,0,1,0,3,0,1,3,3,4,0,4,3,3,0,0,4,2,0,0,0,1,2,1,3,0,4,2,0,0,0,1,1,0,4,3,1,3,0,0,1,0,3,2,239747
"13","pIOvJbcqZGWAVY1",48,"male","learning",0,"deck1",NA,NA,NA,NA,13,"magnitude",8,73,702.229999937117,"yes","A bit, I remembered which ones had a status bar. I also had some that I preferred the colors/numbers but that could have been me projecting something that wasn't there.","At first I thought I had favorites and that I didn't like the status bar. But after a while, I really didn't even look at the status bar nor care about the subtle differences in the decks. My strategy became to keep my thoughts focused on the game and not on trying to detect the differences in the decks.","the biggest difference was that some had progress bars. ","I t could be that some decks jumped around colors/numbers more than others, but after a while I stopped focusing on that (because it was causing me to overthink and make mistakes or run out of time)",3,6,6,3,3,3,3,3,0,1,0,3,0,1,3,3,4,0,4,3,3,0,0,4,2,0,0,0,1,2,1,3,0,4,2,0,0,0,1,1,0,4,3,1,3,0,0,1,0,3,2,240953
"14","pIOvJbcqZGWAVY1",48,"male","learning",0,"deck1",NA,NA,NA,NA,14,"parity",2,69,985.064999898896,"yes","A bit, I remembered which ones had a status bar. I also had some that I preferred the colors/numbers but that could have been me projecting something that wasn't there.","At first I thought I had favorites and that I didn't like the status bar. But after a while, I really didn't even look at the status bar nor care about the subtle differences in the decks. My strategy became to keep my thoughts focused on the game and not on trying to detect the differences in the decks.","the biggest difference was that some had progress bars. ","I t could be that some decks jumped around colors/numbers more than others, but after a while I stopped focusing on that (because it was causing me to overthink and make mistakes or run out of time)",3,6,6,3,3,3,3,3,0,1,0,3,0,1,3,3,4,0,4,3,3,0,0,4,2,0,0,0,1,2,1,3,0,4,2,0,0,0,1,1,0,4,3,1,3,0,0,1,0,3,2,242442
"15","pIOvJbcqZGWAVY1",48,"male","learning",0,"deck1",NA,NA,NA,NA,15,"parity",3,73,1077.45500002056,"yes","A bit, I remembered which ones had a status bar. I also had some that I preferred the colors/numbers but that could have been me projecting something that wasn't there.","At first I thought I had favorites and that I didn't like the status bar. But after a while, I really didn't even look at the status bar nor care about the subtle differences in the decks. My strategy became to keep my thoughts focused on the game and not on trying to detect the differences in the decks.","the biggest difference was that some had progress bars. ","I t could be that some decks jumped around colors/numbers more than others, but after a while I stopped focusing on that (because it was causing me to overthink and make mistakes or run out of time)",3,6,6,3,3,3,3,3,0,1,0,3,0,1,3,3,4,0,4,3,3,0,0,4,2,0,0,0,1,2,1,3,0,4,2,0,0,0,1,1,0,4,3,1,3,0,0,1,0,3,2,244024
"16","pIOvJbcqZGWAVY1",48,"male","learning",0,"deck1",NA,NA,NA,NA,16,"parity",8,69,1152.5950001087,"yes","A bit, I remembered which ones had a status bar. I also had some that I preferred the colors/numbers but that could have been me projecting something that wasn't there.","At first I thought I had favorites and that I didn't like the status bar. But after a while, I really didn't even look at the status bar nor care about the subtle differences in the decks. My strategy became to keep my thoughts focused on the game and not on trying to detect the differences in the decks.","the biggest difference was that some had progress bars. ","I t could be that some decks jumped around colors/numbers more than others, but after a while I stopped focusing on that (because it was causing me to overthink and make mistakes or run out of time)",3,6,6,3,3,3,3,3,0,1,0,3,0,1,3,3,4,0,4,3,3,0,0,4,2,0,0,0,1,2,1,3,0,4,2,0,0,0,1,1,0,4,3,1,3,0,0,1,0,3,2,245681
"17","pIOvJbcqZGWAVY1",48,"male","learning",0,"deck2",NA,NA,NA,NA,1,"parity",9,73,1361.67000001296,"yes","A bit, I remembered which ones had a status bar. I also had some that I preferred the colors/numbers but that could have been me projecting something that wasn't there.","At first I thought I had favorites and that I didn't like the status bar. But after a while, I really didn't even look at the status bar nor care about the subtle differences in the decks. My strategy became to keep my thoughts focused on the game and not on trying to detect the differences in the decks.","the biggest difference was that some had progress bars. ","I t could be that some decks jumped around colors/numbers more than others, but after a while I stopped focusing on that (because it was causing me to overthink and make mistakes or run out of time)",3,6,6,3,3,3,3,3,0,1,0,3,0,1,3,3,4,0,4,3,3,0,0,4,2,0,0,0,1,2,1,3,0,4,2,0,0,0,1,1,0,4,3,1,3,0,0,1,0,3,2,250855
"18","pIOvJbcqZGWAVY1",48,"male","learning",0,"deck2",NA,NA,NA,NA,2,"magnitude",2,69,771.219999995083,"yes","A bit, I remembered which ones had a status bar. I also had some that I preferred the colors/numbers but that could have been me projecting something that wasn't there.","At first I thought I had favorites and that I didn't like the status bar. But after a while, I really didn't even look at the status bar nor care about the subtle differences in the decks. My strategy became to keep my thoughts focused on the game and not on trying to detect the differences in the decks.","the biggest difference was that some had progress bars. ","I t could be that some decks jumped around colors/numbers more than others, but after a while I stopped focusing on that (because it was causing me to overthink and make mistakes or run out of time)",3,6,6,3,3,3,3,3,0,1,0,3,0,1,3,3,4,0,4,3,3,0,0,4,2,0,0,0,1,2,1,3,0,4,2,0,0,0,1,1,0,4,3,1,3,0,0,1,0,3,2,252129
